Plot,System,Num_Eggs,Num_Eaten,Proportion_Eaten
121,1,1093,284,0.259835316
121,2,1166,385,0.330188679
124,3,860,212,0.246511628
221,1,1575,194,0.123174603
222,3,1759,477,0.271176805
224,2,601,123,0.204658902
322,3,746,144,0.193029491
323,1,288,13,0.045138889
324,2,1476,332,0.224932249
431,3,1118,117,0.104651163
432,1,401,35,0.087281796
433,2,1553,224,0.144236961
